"N","Город","Зарплата.в.месяц","Изменение.зарплаты.за.12.месяцев","Должность","exp","current_job_exp","Язык.программирования","Специализация","Возраст","Пол","Образование","Университет","Еще.студент","Уровень.английского","Размер.компании","Тип.компании","Предметная.область"
129,"Kyiv",6500,2500,"Director of Engineering / Program Director",7,7,,,37,"female","Незаконченное высшее",,"False","выше среднего","до 10 человек","Аутсорсинговая","Geospatial"
130,"Kyiv",6500,0,"Senior Project manager / Program Manager",10,"0.5",,,41,"male","Высшее","Other вуз","False","продвинутый","до 200 человек","Аутсорсинговая","Media, Medtech"
131,"Lviv",6500,0,"Senior Software Engineer",10,3,"Python",,39,"male","Высшее","Other вуз","False","выше среднего","свыше 1000 человек","Аутсорсинговая","Telecom"
132,"Kyiv",6500,500,"Product Manager",3,5,,,24,"female","Высшее","КНУ им. Шевченко","False","продвинутый","до 200 человек","Продуктовая","E-commerce, Mobile"
133,"Kyiv",6500,1000,"Team/Technical Lead",9,0,"Java",,27,"male","Высшее","Other вуз","False","продвинутый","до 10 человек","Стартап","Machine Learning, Media"
134,"Kyiv",6500,-1500,"Senior Software Engineer",9,0,"Java",,28,"male","Высшее","Other вуз","False","выше среднего","до 50 человек","Продуктовая","Cloud Computing"
135,"Kyiv",6500,1000,"DBA",7,2,,,32,"male","Высшее",,"False","выше среднего","до 200 человек","Продуктовая","Big Data, Fintech, Інша"
136,"Lviv",6400,1000,"Team/Technical Lead",7,0,"Python",,28,"male","Высшее","Lvivская Политехника","False","выше среднего","до 200 человек","Аутсорсинговая","Big Data, High Load Systems"
137,"Dnipro",6400,1200,"Team/Technical Lead",10,5,"Java",,33,"male","Высшее","Other вуз","False","выше среднего","до 1000 человек","Продуктовая","Big Data, Cloud Computing, Data Science"
138,"Kyiv",6400,400,"Director of Engineering / Program Director",9,3,,,32,"male","Высшее","КНУ им. Шевченко","False","выше среднего","до 50 человек","Стартап","Fintech"
139,"Kyiv",6400,500,"Team/Technical Lead",10,2,"Swift",,28,"male","Высшее","КНУ им. Шевченко","False","выше среднего","до 200 человек","Продуктовая","Mobile"
140,"Kyiv",6400,800,"Team/Technical Lead",8,7,"Ruby/Rails",,27,"male","Высшее","Other вуз","False","выше среднего","до 50 человек","Продуктовая","E-commerce"
141,"Kyiv",6400,800,"Senior Software Engineer",9,3,"Java",,32,"male","Высшее","ДНУ им. Гончара","False","продвинутый","до 200 человек","Продуктовая","Big Data"
142,"Kyiv",6300,-1100,"Director of Engineering / Program Director",10,7,,,41,"male","Высшее","НТУУ «КПИ»","False","продвинутый","до 50 человек","Продуктовая","Інша"
143,"Kyiv",6300,0,"Product Manager",10,3,,,36,"male","Два высших","ДонНУ им. Васыля Стуса","False","продвинутый","до 50 человек","Продуктовая","Інша"
144,"Kyiv",6300,1600,"System Architect","0.5","0.5","C#/.NET",,32,"male","Высшее","Other вуз","False","выше среднего","до 1000 человек","Продуктовая","Fintech"
